YEAR,URCHINS,URCHSE,NEREO,MACRO,NEREOSE,MACROSE,Site
1987,108.80,23.13,0.00,2.40,0.00,2.40,Wizard
1988,123.60,23.75,0.80,0.00,0.80,0.00,Wizard
1989,108.00,26.19,6.80,11.20,6.80,11.20,Wizard
1990,122.00,19.27,0.00,11.60,0.00,11.60,Wizard
1991,98.60,30.56,0.00,7.80,0.00,7.80,Wizard
1992,140.00,30.66,1.20,7.40,1.20,7.40,Wizard
1993,123.40,37.03,0.00,7.40,0.00,7.40,Wizard
1994,156.20,37.09,4.80,14.00,4.80,14.00,Wizard
1995,152.40,32.11,0.00,8.40,0.00,8.40,Wizard
1996,180.60,35.17,0.00,11.00,0.00,11.00,Wizard
1997,185.00,29.02,0.00,48.00,0.00,48.00,Wizard
1998,157.00,37.98,0.00,0.00,0.00,0.00,Wizard
1999,166.80,27.02,0.00,5.60,0.00,5.60,Wizard
2000,158.80,34.36,0.00,8.80,0.00,8.80,Wizard
2001,164.80,19.90,0.00,2.00,0.00,2.00,Wizard
2002,138.00,24.55,0.00,12.00,0.00,12.00,Wizard
2003,162.00,34.53,0.00,15.20,0.00,13.52,Wizard
2004,134.40,26.00,0.00,11.00,0.00,11.00,Wizard
2005,133.20,28.16,0.00,16.20,0.00,16.20,Wizard
2006,156.60,40.59,0.00,18.80,0.00,17.34,Wizard
2007,133.20,15.29,0.00,6.00,0.00,6.00,Wizard
2008,166.00,25.23,1.60,8.80,1.17,7.84,Wizard
2009,176.80,35.19,0.00,20.40,0.00,20.40,Wizard
2010,162.20,39.93,0.00,9.60,0.00,9.60,Wizard
2011,160.40,33.00,0.00,11.20,0.00,11.20,Wizard
2012,150.80,27.12,0.00,23.40,0.00,23.40,Wizard
2013,153.80,36.21,0.00,0.00,0.00,0.00,Wizard
2014,149.00,27.23,0.00,1.60,0.00,0.00,Wizard
2015,151.00,18.90,0.00,7.40,0.00,7.40,Wizard
2016,219.80,50.42,0.00,2.80,0.00,2.80,Wizard
2017,237.20,49.07,0.00,0.00,0.00,0.00,Wizard
2018,186.00,23.98,0.00,0.20,0.00,0.20,Wizard
2019,199.80,22.06,0.00,0.60,0.00,0.60,Wizard
2020,209.20,35.16,0.00,13.20,0.00,13.20,Wizard
1987,60.60,12.15,0.60,0.00,0.60,0.00,Taylor
1988,73.20,10.01,0.80,0.00,0.37,0.00,Taylor
1989,69.80,17.24,4.60,0.40,4.12,0.40,Taylor
1990,91.20,19.12,0.00,0.00,0.00,0.00,Taylor
1991,NA,NA,NA,NA,NA,NA,Taylor
1992,60.40,7.98,0.00,0.00,0.00,0.00,Taylor
1993,82.00,18.76,5.40,0.00,3.89,0.00,Taylor
1994,124.80,26.55,0.00,0.00,0.00,0.00,Taylor
1995,87.20,16.22,0.00,0.00,0.00,0.00,Taylor
1996,117.60,31.35,0.40,0.00,0.40,0.00,Taylor
1997,96.00,15.03,1.20,0.00,1.20,0.00,Taylor
1998,106.80,15.34,0.00,0.00,0.00,0.00,Taylor
1999,105.80,13.88,0.00,0.00,0.00,0.00,Taylor
2000,84.00,15.87,0.00,0.00,0.00,0.00,Taylor
2001,96.20,16.66,0.40,0.00,0.24,0.00,Taylor
2002,87.00,14.17,0.00,0.00,0.00,0.00,Taylor
2003,96.20,14.12,0.00,0.00,0.00,0.00,Taylor
2004,90.80,14.94,0.00,0.00,0.00,0.00,Taylor
2005,63.60,7.01,0.00,0.00,0.00,0.00,Taylor
2006,97.80,22.57,0.00,0.00,0.00,0.00,Taylor
2007,80.60,19.64,0.00,0.00,0.00,0.00,Taylor
2008,89.00,26.51,20.80,0.00,13.95,0.00,Taylor
2009,84.20,15.97,0.00,0.00,0.00,0.00,Taylor
2010,69.60,12.09,0.00,0.00,0.00,0.00,Taylor
2011,112.20,31.15,3.60,0.00,2.54,0.00,Taylor
2012,108.40,22.85,6.20,0.00,4.79,0.00,Taylor
2013,81.80,12.18,0.00,0.00,0.00,0.00,Taylor
2014,64.00,6.02,0.00,0.20,0.00,0.00,Taylor
2015,71.80,6.48,0.00,0.00,0.00,0.00,Taylor
2016,83.80,10.86,0.00,0.00,0.00,0.00,Taylor
2017,79.40,9.29,0.00,0.00,0.00,0.00,Taylor
2018,83.60,9.36,0.00,0.00,0.00,0.00,Taylor
2019,103.00,6.14,0.00,0.00,0.00,0.00,Taylor
2020,104.00,13.70,0.00,0.00,0.00,0.00,Taylor
