Site,Year,Diver,Transect,Distance_along_transect,Species,Count_persqm
DK,2013,9,1,2,AGAR,0
DK,2013,9,1,2,DESM,0
DK,2013,9,1,2,EISE,0
DK,2013,9,1,2,SACC,0
DK,2013,9,1,2,MACRO,2
DK,2013,9,1,2,PTER,0
DK,2013,9,1,4,AGAR,0
DK,2013,9,1,4,DESM,0
DK,2013,9,1,4,EISE,0
DK,2013,9,1,4,SACC,0
DK,2013,9,1,4,MACRO,0
DK,2013,9,1,4,PTER,0
DK,2013,9,1,6,AGAR,0
DK,2013,9,1,6,DESM,0
DK,2013,9,1,6,EISE,0
DK,2013,9,1,6,SACC,0
DK,2013,9,1,6,MACRO,0
DK,2013,9,1,6,PTER,0
DK,2013,9,1,8,AGAR,1
DK,2013,9,1,8,DESM,0
DK,2013,9,1,8,EISE,0
DK,2013,9,1,8,SACC,0
DK,2013,9,1,8,MACRO,0
DK,2013,9,1,8,PTER,0
DK,2013,9,1,10,AGAR,1
DK,2013,9,1,10,DESM,0
DK,2013,9,1,10,EISE,1
DK,2013,9,1,10,SACC,0
DK,2013,9,1,10,MACRO,0
DK,2013,9,1,10,PTER,1
DK,2013,9,1,12,AGAR,1
DK,2013,9,1,12,DESM,0
DK,2013,9,1,12,EISE,0
DK,2013,9,1,12,SACC,0
DK,2013,9,1,12,MACRO,0
DK,2013,9,1,12,PTER,0
DK,2013,9,1,14,AGAR,2
DK,2013,9,1,14,DESM,0
DK,2013,9,1,14,EISE,1
DK,2013,9,1,14,SACC,0
DK,2013,9,1,14,MACRO,0
DK,2013,9,1,14,PTER,0
DK,2013,9,1,16,AGAR,0
DK,2013,9,1,16,DESM,0
DK,2013,9,1,16,EISE,0
DK,2013,9,1,16,SACC,0
DK,2013,9,1,16,MACRO,0
DK,2013,9,1,16,PTER,4
DK,2013,9,1,18,AGAR,1
DK,2013,9,1,18,DESM,0
DK,2013,9,1,18,EISE,0
DK,2013,9,1,18,SACC,0
DK,2013,9,1,18,MACRO,0
DK,2013,9,1,18,PTER,2
DK,2013,9,1,20,AGAR,2
DK,2013,9,1,20,DESM,0
DK,2013,9,1,20,EISE,0
DK,2013,9,1,20,SACC,0
DK,2013,9,1,20,MACRO,0
DK,2013,9,1,20,PTER,0
DK,2013,9,1,22,AGAR,0
DK,2013,9,1,22,DESM,0
DK,2013,9,1,22,EISE,0
DK,2013,9,1,22,SACC,0
DK,2013,9,1,22,MACRO,0
DK,2013,9,1,22,PTER,0
DK,2013,9,1,24,AGAR,0
DK,2013,9,1,24,DESM,0
DK,2013,9,1,24,EISE,0
DK,2013,9,1,24,SACC,0
DK,2013,9,1,24,MACRO,0
DK,2013,9,1,24,PTER,0
DK,2013,9,1,26,AGAR,1
DK,2013,9,1,26,DESM,0
DK,2013,9,1,26,EISE,0
DK,2013,9,1,26,SACC,0
DK,2013,9,1,26,MACRO,0
DK,2013,9,1,26,PTER,0
DK,2013,9,1,28,AGAR,2
DK,2013,9,1,28,DESM,0
DK,2013,9,1,28,EISE,1
DK,2013,9,1,28,SACC,0
DK,2013,9,1,28,MACRO,0
DK,2013,9,1,28,PTER,0
DK,2013,9,1,30,AGAR,0
DK,2013,9,1,30,DESM,0
DK,2013,9,1,30,EISE,1
DK,2013,9,1,30,SACC,0
DK,2013,9,1,30,MACRO,0
DK,2013,9,1,30,PTER,0
DK,2013,9,2,2,AGAR,1
DK,2013,9,2,2,DESM,0
DK,2013,9,2,2,EISE,0
DK,2013,9,2,2,SACC,0
DK,2013,9,2,2,MACRO,0
DK,2013,9,2,2,PTER,0
DK,2013,9,2,4,AGAR,0
DK,2013,9,2,4,DESM,0
DK,2013,9,2,4,EISE,0
DK,2013,9,2,4,SACC,0
DK,2013,9,2,4,MACRO,0
DK,2013,9,2,4,PTER,0
DK,2013,9,2,6,AGAR,0
DK,2013,9,2,6,DESM,0
DK,2013,9,2,6,EISE,0
DK,2013,9,2,6,SACC,0
DK,2013,9,2,6,MACRO,26
DK,2013,9,2,6,PTER,0
DK,2013,9,2,8,AGAR,0
DK,2013,9,2,8,DESM,0
DK,2013,9,2,8,EISE,0
DK,2013,9,2,8,SACC,0
DK,2013,9,2,8,MACRO,0
DK,2013,9,2,8,PTER,0
DK,2013,9,2,10,AGAR,0
DK,2013,9,2,10,DESM,0
DK,2013,9,2,10,EISE,1
DK,2013,9,2,10,SACC,0
DK,2013,9,2,10,MACRO,0
DK,2013,9,2,10,PTER,0
DK,2013,9,2,12,AGAR,0
DK,2013,9,2,12,DESM,0
DK,2013,9,2,12,EISE,0
DK,2013,9,2,12,SACC,0
DK,2013,9,2,12,MACRO,0
DK,2013,9,2,12,PTER,0
DK,2013,9,2,14,AGAR,0
DK,2013,9,2,14,DESM,0
DK,2013,9,2,14,EISE,1
DK,2013,9,2,14,SACC,0
DK,2013,9,2,14,MACRO,0
DK,2013,9,2,14,PTER,3
DK,2013,9,2,16,AGAR,0
DK,2013,9,2,16,DESM,0
DK,2013,9,2,16,EISE,0
DK,2013,9,2,16,SACC,0
DK,2013,9,2,16,MACRO,0
DK,2013,9,2,16,PTER,0
DK,2013,9,2,18,AGAR,0
DK,2013,9,2,18,DESM,0
DK,2013,9,2,18,EISE,0
DK,2013,9,2,18,SACC,0
DK,2013,9,2,18,MACRO,0
DK,2013,9,2,18,PTER,2
DK,2013,9,2,20,AGAR,0
DK,2013,9,2,20,DESM,0
DK,2013,9,2,20,EISE,1
DK,2013,9,2,20,SACC,0
DK,2013,9,2,20,MACRO,0
DK,2013,9,2,20,PTER,0
DK,2013,9,2,22,AGAR,0
DK,2013,9,2,22,DESM,0
DK,2013,9,2,22,EISE,0
DK,2013,9,2,22,SACC,0
DK,2013,9,2,22,MACRO,0
DK,2013,9,2,22,PTER,1
DK,2013,9,2,24,AGAR,0
DK,2013,9,2,24,DESM,0
DK,2013,9,2,24,EISE,1
DK,2013,9,2,24,SACC,0
DK,2013,9,2,24,MACRO,0
DK,2013,9,2,24,PTER,2
DK,2013,9,2,26,AGAR,0
DK,2013,9,2,26,DESM,0
DK,2013,9,2,26,EISE,0
DK,2013,9,2,26,SACC,0
DK,2013,9,2,26,MACRO,0
DK,2013,9,2,26,PTER,2
DK,2013,9,2,28,AGAR,3
DK,2013,9,2,28,DESM,0
DK,2013,9,2,28,EISE,0
DK,2013,9,2,28,SACC,0
DK,2013,9,2,28,MACRO,0
DK,2013,9,2,28,PTER,0
DK,2013,9,2,30,AGAR,2
DK,2013,9,2,30,DESM,0
DK,2013,9,2,30,EISE,0
DK,2013,9,2,30,SACC,0
DK,2013,9,2,30,MACRO,0
DK,2013,9,2,30,PTER,0
DK,2013,7,5,2,AGAR,1
DK,2013,7,5,2,DESM,0
DK,2013,7,5,2,EISE,1
DK,2013,7,5,2,SACC,0
DK,2013,7,5,2,MACRO,1
DK,2013,7,5,2,PTER,2
DK,2013,7,5,4,AGAR,2
DK,2013,7,5,4,DESM,0
DK,2013,7,5,4,EISE,0
DK,2013,7,5,4,SACC,0
DK,2013,7,5,4,MACRO,0
DK,2013,7,5,4,PTER,11
DK,2013,7,5,6,AGAR,1
DK,2013,7,5,6,DESM,0
DK,2013,7,5,6,EISE,1
DK,2013,7,5,6,SACC,0
DK,2013,7,5,6,MACRO,0
DK,2013,7,5,6,PTER,1
DK,2013,7,5,8,AGAR,2
DK,2013,7,5,8,DESM,0
DK,2013,7,5,8,EISE,0
DK,2013,7,5,8,SACC,0
DK,2013,7,5,8,MACRO,0
DK,2013,7,5,8,PTER,10
DK,2013,7,5,10,AGAR,2
DK,2013,7,5,10,DESM,0
DK,2013,7,5,10,EISE,1
DK,2013,7,5,10,SACC,0
DK,2013,7,5,10,MACRO,0
DK,2013,7,5,10,PTER,6
DK,2013,7,5,12,AGAR,2
DK,2013,7,5,12,DESM,0
DK,2013,7,5,12,EISE,0
DK,2013,7,5,12,SACC,0
DK,2013,7,5,12,MACRO,0
DK,2013,7,5,12,PTER,6
DK,2013,7,5,14,AGAR,0
DK,2013,7,5,14,DESM,0
DK,2013,7,5,14,EISE,0
DK,2013,7,5,14,SACC,0
DK,2013,7,5,14,MACRO,0
DK,2013,7,5,14,PTER,12
DK,2013,7,5,16,AGAR,0
DK,2013,7,5,16,DESM,0
DK,2013,7,5,16,EISE,1
DK,2013,7,5,16,SACC,0
DK,2013,7,5,16,MACRO,0
DK,2013,7,5,16,PTER,0
DK,2013,7,5,18,AGAR,1
DK,2013,7,5,18,DESM,0
DK,2013,7,5,18,EISE,0
DK,2013,7,5,18,SACC,0
DK,2013,7,5,18,MACRO,0
DK,2013,7,5,18,PTER,1
DK,2013,7,5,20,AGAR,1
DK,2013,7,5,20,DESM,0
DK,2013,7,5,20,EISE,2
DK,2013,7,5,20,SACC,0
DK,2013,7,5,20,MACRO,0
DK,2013,7,5,20,PTER,1
DK,2013,7,5,22,AGAR,3
DK,2013,7,5,22,DESM,0
DK,2013,7,5,22,EISE,0
DK,2013,7,5,22,SACC,0
DK,2013,7,5,22,MACRO,0
DK,2013,7,5,22,PTER,0
DK,2013,7,5,24,AGAR,2
DK,2013,7,5,24,DESM,0
DK,2013,7,5,24,EISE,0
DK,2013,7,5,24,SACC,0
DK,2013,7,5,24,MACRO,0
DK,2013,7,5,24,PTER,0
DK,2013,7,5,26,AGAR,1
