rov_site_id,NEAR_DIST_M,NEAR_DIST_KM
23,9400.079112,9.400079112
1,9408.783844,9.408783844
7,4790.395978,4.790395978
11,4771.549766,4.771549766
4,5667.293197,5.667293197
9,6023.091155,6.023091155
19,6153.359673,6.153359673
3,6550.755816,6.550755816
8,6754.446167,6.754446167
8A,6712.150794,6.712150794
8B,6917.3695,6.9173695
13,7327.176071,7.327176071
25,9691.522056,9.691522056
22,10505.61557,10.50561557
17,10602.25276,10.60225276
26,11171.01906,11.17101906
16,9537.047969,9.537047969
15,11659.36688,11.65936688
20,12031.64201,12.03164201
5,12492.49752,12.49249752
6,13173.52343,13.17352343
21,13376.69209,13.37669209
2,13703.25592,13.70325592
18,13952.1418,13.9521418
14,14240.06017,14.24006017
10,14513.21258,14.51321258
12,14679.59673,14.67959673
Roquefoil KB1,11826.3776,11.8263776
Roquefoil KB1,11867.10256,11.86710256
Roquefoil KB1,11796.26196,11.79626196
Deep KB2,12180.99128,12.18099128
Deep KB2,12251.51924,12.25151924
KB5,13993.50418,13.99350418
KB12,14462.52693,14.46252693
KB12,14462.52693,14.46252693
KB11,14364.1415,14.3641415
33,5762.588798,5.762588798
29,7169.49254,7.16949254
28,7639.309531,7.639309531
30,8278.34813,8.27834813
27A,8425.219142,8.425219142
32,9295.743439,9.295743439
34,10020.69332,10.02069332
35,10237.88638,10.23788638
36,10672.3623,10.6723623
Deep bed 3,12571.5029,12.5715029
Deep bed 3,12622.2076,12.6222076
Deep bed 3,12656.4079,12.6564079
Deep bed 3,12721.90503,12.72190503
deep bed 9,13257.19692,13.25719692
27,8425.219142,8.425219142
deep bed 6,12210.03305,12.21003305
deep bed 6,12240.59845,12.24059845
deep bed 6,12275.40026,12.27540026
deep bed 6,12275.40026,12.27540026
Deep bed 6,12169.25369,12.16925369
Deep bed 7,12473.71603,12.47371603
Deep bed 7,12499.55461,12.49955461
Deep bed 8,12529.10136,12.52910136
Site 112 bed,11814.28003,11.81428003
Site 112 bed,11742.92389,11.74292389
24B,8661.722066,8.661722066
H24A,8667.147921,8.667147921
H24B,8713.255928,8.713255928
H24C,8736.3099,8.7363099
H24D,8768.66507,8.76866507
H1A,10629.97929,10.62997929
H1B,10625.06999,10.62506999
