Segment,kelp_1981,kelp_1981_bin
1,NA,NA
2,2,1
3,2,1
4,2,1
5,2,1
6,2,1
7,2,1
8,2,1
9,2,1
10,2,1
11,2,1
12,2,1
13,2,1
14,2,1
15,2,1
16,2,1
17,2,1
18,2,1
19,NA,NA
20,2,1
21,2,1
22,2,1
23,2,1
24,2,1
Island 1,2,1
25,2,1
26,2,1
27,2,1
28,2,1
29,2,1
30,2,1
31,2,1
32,2,1
33,2,1
34,2,1
35,2,1
36,2,1
37,2,1
38,2,1
39,2,1
40,2,1
41,2,1
42,2,1
43,2,1
44,2,1
45,2,1
46,NA,NA
47,2,1
48,2,1
49,2,1
50,2,1
51,2,1
52,NA,NA
53,NA,NA
54,NA,NA
55,NA,NA
56,1,1
57,1,1
58,0,0
59,NA,NA
60,2,1
61,2,1
62,2,1
63,2,1
64,2,1
65,2,1
66,2,1
71,2,1
72,NA,NA
73,NA,NA
74,NA,NA
75,NA,NA
76,NA,NA
77,NA,NA
78,NA,NA
79,NA,NA
80,NA,NA
81,NA,NA
82,NA,NA
83,NA,NA
84,NA,NA
85,NA,NA
86,NA,NA
87,NA,NA
88,NA,NA
89,NA,NA
90,NA,NA
91,NA,NA
92,NA,NA
93,NA,NA
94,NA,NA
95,NA,NA
96,NA,NA
97,NA,NA
98,2,1
99,2,1
100,2,1
101,2,1
102,NA,NA
103,2,1
104,NA,NA
105,0,0
106,NA,NA
107,2,1
108,2,1
109,NA,NA
110,NA,NA
111,NA,NA
112,NA,NA
113,NA,NA
114,2,1
115,2,1
116,2,1
117,2,1
118,2,1
119,2,1
120,2,1
121,2,1
122,2,1
123,2,1
124,2,1
125,2,1
126,2,1
127,2,1
128,2,1
129,2,1
130,2,1
131,2,1
132,2,1
133,2,1
134,2,1
135,2,1
136,2,1
137,2,1
138,2,1
139,2,1
140,2,1
141,2,1
142,2,1
143,2,1
144,2,1
145,2,1
146,2,1
147,2,1
148,2,1
149,2,1
150,2,1
151,2,1
152,2,1
153,2,1
154,2,1
155,2,1
156,2,1
157,2,1
158,2,1
159,2,1
160,2,1
161,2,1
162,2,1
163,2,1
164,2,1
165,NA,NA
166,NA,NA
167,2,1
168,2,1
169,2,1
170,2,1
171,2,1
172,2,1
173,2,1
174,2,1
175,2,1
176,2,1
177,2,1
178,2,1
179,2,1
180,2,1
181,2,1
182,2,1
183,2,1
184,2,1
185,2,1
186,2,1
187,2,1
188,2,1
189,2,1
190,2,1
191,2,1
192,2,1
193,2,1
194,2,1
195,2,1
196,2,1
197,2,1
198,2,1
199,2,1
200,2,1
201,2,1
202,2,1
203,2,1
204,NA,NA
205,NA,NA
206,NA,NA
207,NA,NA
208,NA,NA
209,NA,NA
210,2,1
211,2,1
212,NA,NA
213,NA,NA
214,NA,NA
215,NA,NA
216,NA,NA
217,NA,NA
218,NA,NA
219,NA,NA
220,NA,NA
221,NA,NA
222,NA,NA
223,NA,NA
224,NA,NA
225,NA,NA
226,NA,NA
227,NA,NA
228,NA,NA
229,NA,NA
230,NA,NA
231,NA,NA
232,NA,NA
233,NA,NA
234,NA,NA
235,NA,NA
236,NA,NA
237,NA,NA
238,NA,NA
239,NA,NA
240,NA,NA
241,NA,NA
242,NA,NA
243,NA,NA
244,NA,NA
245,NA,NA
246,NA,NA
247,NA,NA
248,NA,NA
249,NA,NA
250,NA,NA
251,NA,NA
252,NA,NA
253,NA,NA
254,NA,NA
255,NA,NA
256,NA,NA
257,NA,NA
258,NA,NA
259,NA,NA
260,NA,NA
261,NA,NA
262,NA,NA
263,NA,NA
264,NA,NA
265,NA,NA
266,NA,NA
267,NA,NA
268,NA,NA
269,NA,NA
270,NA,NA
271,NA,NA
272,NA,NA
273,NA,NA
274,NA,NA
275,NA,NA
276,NA,NA
277,NA,NA
278,NA,NA
279,NA,NA
280,NA,NA
281,NA,NA
282,NA,NA
283,NA,NA
284,NA,NA
285,NA,NA
286,NA,NA
287,NA,NA
288,NA,NA
289,NA,NA
290,NA,NA
291,NA,NA
292,NA,NA
293,NA,NA
294,NA,NA
295,NA,NA
296,NA,NA
297,NA,NA
298,NA,NA
299,NA,NA
300,NA,NA
301,NA,NA
302,NA,NA
303,NA,NA
304,NA,NA
305,NA,NA
306,NA,NA
307,NA,NA
308,NA,NA
309,NA,NA
310,NA,NA
311,NA,NA
312,NA,NA
313,NA,NA
314,NA,NA
315,NA,NA
316,NA,NA
317,NA,NA
318,NA,NA
319,NA,NA
320,NA,NA
321,NA,NA
322,NA,NA
323,NA,NA
324,NA,NA
325,NA,NA
326,NA,NA
327,NA,NA
328,NA,NA
329,NA,NA
330,NA,NA
331,NA,NA
332,NA,NA
333,NA,NA
334,NA,NA
335,NA,NA
336,NA,NA
337,NA,NA
338,NA,NA
339,2,1
340,2,1
341,1,1
342,NA,NA
343,NA,NA
344,NA,NA
345,NA,NA
347,NA,NA
348,2,1
349,1,1
350,1,1
351,2,1
352,2,1
353,2,1
354,2,1
355,2,1
356,2,1
357,2,1
358,2,1
359,2,1
360,2,1
361,2,1
362,2,1
363,2,1
364,2,1
365,2,1
366,2,1
367,2,1
368,2,1
369,2,1
370,2,1
371,2,1
372,2,1
373,2,1
374,2,1
375,2,1
376,2,1
377,2,1
378,2,1
379,2,1
380,2,1
381,2,1
382,2,1
383,2,1
384,2,1
385,2,1
386,2,1
387,2,1
388,2,1
389,2,1
390,2,1
391,2,1
392,2,1
393,2,1
394,2,1
395,2,1
396,2,1
397,NA,NA
407,NA,NA
408,NA,NA
409,NA,NA
410,NA,NA
411,NA,NA
412,NA,NA
413,NA,NA
414,NA,NA
415,NA,NA
416,NA,NA
417,NA,NA
418,NA,NA
419,NA,NA
420,NA,NA
421,NA,NA
422,NA,NA
423,NA,NA
424,NA,NA
425,NA,NA
426,NA,NA
427,NA,NA
428,NA,NA
429,NA,NA
430,NA,NA
431,NA,NA
432,NA,NA
433,NA,NA
434,NA,NA
435,NA,NA
436,NA,NA
437,NA,NA
438,NA,NA
439,NA,NA
440,NA,NA
441,NA,NA
442,NA,NA
443,NA,NA
444,NA,NA
445,NA,NA
446,NA,NA
447,NA,NA
448,NA,NA
449,NA,NA
450,NA,NA
451,NA,NA
452,NA,NA
453,NA,NA
454,NA,NA
455,NA,NA
456,NA,NA
457,NA,NA
458,NA,NA
459,NA,NA
460,NA,NA
461,NA,NA
462,NA,NA
463,NA,NA
464,NA,NA
465,NA,NA
466,NA,NA
467,NA,NA
468,NA,NA
469,NA,NA
470,NA,NA
471,NA,NA
472,NA,NA
473,NA,NA
474,NA,NA
475,NA,NA
476,NA,NA
477,NA,NA
478,NA,NA
479,NA,NA
480,NA,NA
481,NA,NA
482,NA,NA
483,NA,NA
484,NA,NA
485,NA,NA
486,NA,NA
487,NA,NA
488,NA,NA
489,NA,NA
490,NA,NA
491,NA,NA
492,NA,NA
493,NA,NA
494,NA,NA
495,NA,NA
496,NA,NA
497,NA,NA
498,NA,NA
499,NA,NA
500,NA,NA
501,NA,NA
502,NA,NA
503,NA,NA
504,NA,NA
505,NA,NA
506,NA,NA
507,NA,NA
508,NA,NA
509,NA,NA
510,NA,NA
511,NA,NA
512,NA,NA
513,NA,NA
514,NA,NA
515,NA,NA
516,NA,NA
517,NA,NA
518,NA,NA
519,NA,NA
520,NA,NA
521,NA,NA
522,NA,NA
523,NA,NA
524,NA,NA
525,NA,NA
526,NA,NA
527,NA,NA
