segment_number,macro_2020,nereo_2020,Kelp_2020
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
5,NA,NA,NA
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
9,NA,NA,NA
10,NA,NA,NA
11,NA,NA,NA
12,NA,NA,NA
13,NA,NA,NA
14,NA,NA,NA
15,NA,NA,NA
16,NA,NA,NA
17,NA,NA,NA
18,NA,NA,NA
19,NA,NA,NA
20,NA,NA,NA
21,NA,NA,NA
22,NA,NA,NA
23,NA,NA,NA
24,NA,NA,NA
Island 1,NA,NA,NA
25,NA,NA,NA
26,NA,NA,NA
27,NA,NA,NA
28,NA,NA,NA
29,NA,NA,NA
30,NA,NA,NA
31,NA,NA,NA
32,NA,NA,NA
33,NA,NA,NA
34,NA,NA,NA
35,NA,NA,NA
36,NA,NA,NA
37,NA,NA,NA
38,NA,NA,NA
39,NA,NA,NA
40,NA,NA,NA
41,NA,NA,NA
42,NA,NA,NA
43,NA,NA,NA
44,NA,NA,NA
45,NA,NA,NA
46,NA,NA,NA
47,NA,NA,NA
48,NA,NA,NA
49,NA,NA,NA
50,NA,NA,NA
51,NA,NA,NA
52,NA,NA,NA
53,NA,NA,NA
54,NA,NA,NA
55,NA,NA,NA
56,NA,NA,NA
57,NA,NA,NA
58,NA,NA,NA
59,NA,NA,NA
60,NA,NA,NA
61,NA,NA,NA
62,NA,NA,NA
63,NA,NA,NA
64,NA,NA,NA
65,NA,NA,NA
66,NA,NA,NA
71,1,0,1
72,1,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
101,0,0,1
102,0,0,1
103,0,0,1
104,0,0,1
105,0,0,1
106,0,0,1
107,0,0,1
108,0,0,1
109,0,0,1
110,0,0,1
111,0,0,1
112,0,0,1
113,0,0,1
114,0,0,1
115,0,0,1
116,0,0,1
117,0,0,1
118,0,0,1
119,0,0,1
120,0,0,1
121,0,0,1
122,0,0,1
123,0,0,1
124,0,0,1
125,0,0,1
126,0,0,1
127,0,0,1
128,0,0,1
129,0,0,1
130,0,0,1
131,0,0,1
132,0,0,1
133,0,0,1
134,0,0,1
135,0,0,1
136,0,0,1
137,0,0,1
138,0,0,1
139,0,0,1
140,0,0,1
141,0,0,1
142,0,0,1
143,0,0,1
144,0,0,1
145,0,0,1
146,0,0,1
147,0,0,1
148,0,0,1
149,0,0,1
150,0,0,1
151,0,0,1
152,0,0,1
153,0,0,1
154,0,0,1
155,0,0,1
156,0,0,1
157,0,0,1
158,0,0,1
159,0,0,1
160,0,0,1
161,0,0,1
162,0,0,1
163,0,0,1
164,0,0,1
165,0,0,1
166,0,0,1
167,0,0,1
168,0,0,1
169,0,0,1
170,0,0,1
171,0,0,1
172,0,0,1
173,0,0,1
174,0,0,1
175,0,0,1
176,0,0,1
177,0,0,1
178,0,0,1
179,0,0,1
180,0,0,1
181,1,0,1
182,0,0,1
183,0,0,1
184,0,0,1
185,0,0,1
186,0,0,1
187,0,0,1
188,0,0,1
189,0,0,1
190,0,0,1
191,0,0,1
192,0,0,1
193,0,0,1
194,0,0,1
195,0,0,1
196,0,0,1
197,0,0,1
198,0,0,1
199,0,0,1
200,0,0,1
201,0,0,1
202,0,0,1
203,0,0,1
204,0,0,1
205,0,0,1
206,0,0,1
207,0,0,1
208,0,0,1
209,0,0,1
210,0,0,1
211,0,0,1
212,0,0,1
213,0,0,1
214,0,0,1
215,0,0,1
216,0,0,1
217,0,0,1
218,0,0,1
219,0,0,1
220,0,0,1
221,0,0,1
222,0,0,1
223,0,0,1
224,0,0,1
225,0,0,1
226,0,0,1
227,0,0,1
228,0,0,1
229,0,0,1
230,0,0,1
231,0,0,1
232,0,0,1
233,0,0,1
234,0,0,1
235,0,0,1
236,0,0,1
237,0,0,1
238,0,0,1
239,0,0,1
240,0,0,1
241,0,0,1
242,0,0,1
243,0,0,1
244,0,0,1
245,0,0,1
246,0,0,1
247,0,0,1
248,0,0,1
249,0,0,1
250,0,0,1
251,0,0,1
252,0,0,1
253,0,0,1
254,0,0,1
255,0,0,1
256,0,0,1
257,0,0,1
258,0,0,1
259,0,0,1
260,0,0,1
261,0,0,1
262,0,0,1
263,0,0,1
264,0,0,1
265,0,0,1
266,0,0,1
267,0,0,1
268,0,0,1
269,0,0,1
270,0,0,1
271,0,0,1
272,0,0,1
273,0,0,1
274,1,0,1
275,1,0,1
276,0,0,1
277,0,0,1
278,0,0,1
279,0,0,1
280,0,0,1
281,0,0,1
282,0,0,1
283,1,0,1
284,0,0,1
285,0,0,1
286,0,0,1
287,0,0,1
288,0,0,1
289,0,0,1
290,0,0,1
291,0,0,1
292,0,0,1
293,1,0,1
294,0,0,1
295,1,0,1
296,0,0,1
297,0,0,1
298,0,0,1
299,1,0,1
300,1,0,1
301,1,0,1
302,1,0,1
303,1,0,1
304,1,0,1
305,0,0,1
306,0,0,1
307,0,0,1
308,0,0,1
309,0,0,1
310,1,0,1
311,1,0,1
312,1,0,1
313,0,0,1
314,0,0,1
315,0,0,1
316,1,0,1
317,1,0,1
318,1,0,1
319,1,0,1
320,1,0,1
321,1,0,1
322,1,0,1
323,0,0,1
324,0,0,1
325,1,0,1
326,1,0,1
327,1,0,1
328,0,0,1
329,0,0,1
330,0,0,1
331,0,0,1
332,0,0,1
333,0,0,1
334,0,0,1
335,0,0,1
336,0,0,1
337,0,0,1
338,1,0,1
339,NA,NA,NA
340,NA,NA,NA
341,NA,NA,NA
342,NA,NA,NA
343,NA,NA,NA
344,NA,NA,NA
345,NA,NA,NA
347,NA,NA,NA
348,NA,NA,NA
349,NA,NA,NA
350,NA,NA,NA
351,NA,NA,NA
352,NA,NA,NA
353,NA,NA,NA
354,NA,NA,NA
355,NA,NA,NA
356,NA,NA,NA
357,NA,NA,NA
358,NA,NA,NA
359,NA,NA,NA
360,NA,NA,NA
361,NA,NA,NA
362,NA,NA,NA
363,NA,NA,NA
364,NA,NA,NA
365,NA,NA,NA
366,NA,NA,NA
367,NA,NA,NA
368,NA,NA,NA
369,NA,NA,NA
370,NA,NA,NA
371,NA,NA,NA
372,NA,NA,NA
373,NA,NA,NA
374,NA,NA,NA
375,NA,NA,NA
376,NA,NA,NA
377,NA,NA,NA
378,NA,NA,NA
379,NA,NA,NA
380,NA,NA,NA
381,NA,NA,NA
382,NA,NA,NA
383,NA,NA,NA
384,NA,NA,NA
385,NA,NA,NA
386,NA,NA,NA
387,NA,NA,NA
388,NA,NA,NA
389,NA,NA,NA
390,NA,NA,NA
391,NA,NA,NA
392,NA,NA,NA
393,NA,NA,NA
394,NA,NA,NA
395,NA,NA,NA
396,NA,NA,NA
397,NA,NA,NA
407,NA,NA,NA
408,NA,NA,NA
409,NA,NA,NA
410,NA,NA,NA
411,NA,NA,NA
412,NA,NA,NA
413,NA,NA,NA
414,NA,NA,NA
415,NA,NA,NA
416,NA,NA,NA
417,NA,NA,NA
418,NA,NA,NA
419,NA,NA,NA
420,NA,NA,NA
421,NA,NA,NA
422,NA,NA,NA
423,NA,NA,NA
424,NA,NA,NA
425,NA,NA,NA
426,NA,NA,NA
427,NA,NA,NA
428,NA,NA,NA
429,NA,NA,NA
430,NA,NA,NA
431,NA,NA,NA
432,NA,NA,NA
433,NA,NA,NA
434,NA,NA,NA
435,NA,NA,NA
436,NA,NA,NA
437,NA,NA,NA
438,NA,NA,NA
439,NA,NA,NA
440,NA,NA,NA
441,NA,NA,NA
442,NA,NA,NA
443,NA,NA,NA
444,NA,NA,NA
445,NA,NA,NA
446,NA,NA,NA
447,NA,NA,NA
448,NA,NA,NA
449,NA,NA,NA
450,NA,NA,NA
451,NA,NA,NA
452,NA,NA,NA
453,NA,NA,NA
454,NA,NA,NA
455,NA,NA,NA
456,NA,NA,NA
457,NA,NA,NA
458,NA,NA,NA
459,NA,NA,NA
460,NA,NA,NA
461,NA,NA,NA
462,NA,NA,NA
463,NA,NA,NA
464,NA,NA,NA
465,NA,NA,NA
466,NA,NA,NA
467,NA,NA,NA
468,NA,NA,NA
469,NA,NA,NA
470,NA,NA,NA
471,NA,NA,NA
472,NA,NA,NA
473,NA,NA,NA
474,NA,NA,NA
475,NA,NA,NA
476,NA,NA,NA
477,NA,NA,NA
478,NA,NA,NA
479,NA,NA,NA
480,NA,NA,NA
481,NA,NA,NA
482,NA,NA,NA
483,NA,NA,NA
484,NA,NA,NA
485,NA,NA,NA
486,NA,NA,NA
487,NA,NA,NA
488,NA,NA,NA
489,NA,NA,NA
490,NA,NA,NA
491,NA,NA,NA
492,NA,NA,NA
493,NA,NA,NA
494,NA,NA,NA
495,NA,NA,NA
496,NA,NA,NA
497,NA,NA,NA
498,NA,NA,NA
499,NA,NA,NA
500,NA,NA,NA
501,NA,NA,NA
502,NA,NA,NA
503,NA,NA,NA
504,NA,NA,NA
505,NA,NA,NA
506,NA,NA,NA
507,NA,NA,NA
508,NA,NA,NA
509,NA,NA,NA
510,NA,NA,NA
511,NA,NA,NA
512,NA,NA,NA
513,NA,NA,NA
514,NA,NA,NA
515,NA,NA,NA
516,NA,NA,NA
517,NA,NA,NA
518,NA,NA,NA
519,NA,NA,NA
520,NA,NA,NA
521,NA,NA,NA
522,NA,NA,NA
523,NA,NA,NA
524,NA,NA,NA
525,NA,NA,NA
526,NA,NA,NA
527,NA,NA,NA
528,NA,NA,NA
529,NA,NA,NA
530,NA,NA,NA
531,NA,NA,NA
532,NA,NA,NA
533,NA,NA,NA
534,NA,NA,NA
535,NA,NA,NA
536,NA,NA,NA
537,NA,NA,NA
538,NA,NA,NA
539,NA,NA,NA
540,NA,NA,NA
541,NA,NA,NA
542,NA,NA,NA
543,NA,NA,NA
544,NA,NA,NA
545,NA,NA,NA
546,NA,NA,NA
547,NA,NA,NA
548,NA,NA,NA
549,NA,NA,NA
550,NA,NA,NA
551,NA,NA,NA
552,NA,NA,NA
553,NA,NA,NA
554,NA,NA,NA
555,NA,NA,NA
556,NA,NA,NA
557,NA,NA,NA
558,NA,NA,NA
559,NA,NA,NA
560,NA,NA,NA
561,NA,NA,NA
562,NA,NA,NA
563,NA,NA,NA
564,NA,NA,NA
565,NA,NA,NA
566,NA,NA,NA
567,NA,NA,NA
568,NA,NA,NA
569,NA,NA,NA
570,NA,NA,NA
571,NA,NA,NA
572,NA,NA,NA
573,NA,NA,NA
574,NA,NA,NA
575,NA,NA,NA
576,NA,NA,NA
577,NA,NA,NA
578,NA,NA,NA
579,NA,NA,NA
580,NA,NA,NA
581,NA,NA,NA
