FID,Segment,Start_Lati,Start_Long,End_Latitu,End_Longit,NEAR_DIST_M,NEAR_DIST_KM
0,1,48.83963889,-125.1406917,48.83938889,-125.1410417,8266.75529,8.26675529
1,2,48.83938889,-125.1410417,48.83938333,-125.1410472,8266.017314,8.266017314
2,3,48.83918056,-125.1412028,48.83911944,-125.1415944,8219.617934,8.219617934
3,4,48.83911944,-125.1415944,48.83898889,-125.1419556,8193.066916,8.193066916
4,5,48.83898889,-125.1419556,48.83880556,-125.1419472,8176.275225,8.176275225
5,6,48.83880556,-125.1419472,48.83870278,-125.1422556,8154.416822,8.154416822
6,7,48.83870278,-125.1422556,48.83858889,-125.1422222,8145.105381,8.145105381
7,8,48.83858889,-125.1422222,48.83837778,-125.1424778,8115.225943,8.115225943
8,9,48.83837778,-125.1424778,48.83823056,-125.1428194,8087.896672,8.087896672
9,10,48.83823056,-125.1428194,48.838125,-125.1431972,8063.020326,8.063020326
10,11,48.838125,-125.1431972,48.83790556,-125.1434444,8032.696552,8.032696552
11,12,48.83790556,-125.1434444,48.83780833,-125.1438222,8008.598406,8.008598406
12,13,48.83780833,-125.1438222,48.83756111,-125.1439806,7979.208802,7.979208802
13,14,48.83756111,-125.1439806,48.83734444,-125.1438306,7964.930188,7.964930188
14,15,48.83734444,-125.1438306,48.83721111,-125.1436472,7959.764338,7.959764338
15,16,48.83721111,-125.1436472,48.83732222,-125.1440194,7955.350741,7.955350741
16,17,48.83732222,-125.1440194,48.83716111,-125.14435,7927.161099,7.927161099
17,18,48.83716111,-125.14435,48.83690833,-125.1445056,7897.363288,7.897363288
18,19,48.83690833,-125.1445056,48.83699167,-125.1441167,7897.363288,7.897363288
19,20,48.83699167,-125.1441167,48.83697778,-125.1438028,7920.605166,7.920605166
20,21,48.83697778,-125.1438028,48.836825,-125.1440194,7908.902804,7.908902804
21,22,48.836825,-125.1440194,48.83663611,-125.1439667,7893.352167,7.893352167
22,23,48.83663611,-125.1439667,48.83655,-125.1435778,7893.352167,7.893352167
23,24,48.83655,-125.1435778,48.83639167,-125.1435167,7888.403228,7.888403228
24,Island 1,48.83641389,-125.1445833,48.83648333,-125.1439472,7848.086706,7.848086706
25,25,48.83639167,-125.1435167,48.836175,-125.1436917,7861.207553,7.861207553
26,26,48.836175,-125.1436917,48.836025,-125.143725,7845.871792,7.845871792
27,27,48.836025,-125.143725,48.83584722,-125.1437694,7827.499783,7.827499783
28,28,48.83584722,-125.1437694,48.83571389,-125.1437472,7815.927141,7.815927141
29,29,48.83571389,-125.1437472,48.83564444,-125.1438306,7806.124661,7.806124661
30,30,48.83564444,-125.1438306,48.83539444,-125.1439889,7776.479127,7.776479127
31,31,48.83539444,-125.1439889,48.83520833,-125.1442,7750.703254,7.750703254
32,32,48.83520833,-125.1442,48.83500833,-125.1442472,7730.144209,7.730144209
33,33,48.83500833,-125.1442472,48.83477222,-125.1444222,7701.132358,7.701132358
34,34,48.83477222,-125.1444222,48.83455,-125.1445889,7673.747906,7.673747906
35,35,48.83455,-125.1445889,48.83441389,-125.1447861,7653.19517,7.65319517
36,36,48.83441389,-125.1447861,48.83433611,-125.1451639,7630.913226,7.630913226
37,37,48.83433611,-125.1451639,48.83414722,-125.1454306,7602.667656,7.602667656
38,38,48.83414722,-125.1454306,48.83396667,-125.1457306,7573.877624,7.573877624
39,39,48.83396667,-125.1457306,48.83372222,-125.1458972,7544.420358,7.544420358
40,40,48.83372222,-125.1458972,48.83365556,-125.1462667,7523.507176,7.523507176
41,41,48.83365556,-125.1462667,48.83380278,-125.1466056,7523.507176,7.523507176
42,42,48.83380278,-125.1466056,48.83405278,-125.1466778,7523.790296,7.523790296
43,43,48.83405278,-125.1466778,48.83432222,-125.1466639,7544.27496,7.54427496
44,44,48.83432222,-125.1466639,48.83455833,-125.1467417,7569.99771,7.56999771
45,45,48.83455833,-125.1467417,48.83464167,-125.1470833,7583.171088,7.583171088
46,46,48.83464167,-125.1470833,48.83445833,-125.1473917,7553.786864,7.553786864
47,47,48.83445833,-125.1473917,48.83426111,-125.1474333,7533.70967,7.53370967
48,48,48.83426111,-125.1474333,48.83399167,-125.1474222,7508.980362,7.508980362
49,49,48.83399167,-125.1474222,48.83400556,-125.1476194,7502.440381,7.502440381
50,50,48.83400556,-125.1476194,48.83385,-125.1478833,7477.419831,7.477419831
51,51,48.83385,-125.1478833,48.83397778,-125.1480333,7477.419831,7.477419831
52,52,48.83397778,-125.1480333,48.83403611,-125.1484306,7473.054198,7.473054198
53,53,48.83403611,-125.1484306,48.83390556,-125.1485833,7454.78959,7.45478959
54,54,48.83390556,-125.1485833,48.83375833,-125.1489194,7427.677836,7.427677836
55,55,48.83375833,-125.1489194,48.83353333,-125.1491194,7398.709928,7.398709928
56,56,48.83353333,-125.1491194,48.83340833,-125.1491778,7384.711541,7.384711541
57,57,48.83340833,-125.1491778,48.8332,-125.1493083,7360.063038,7.360063038
58,58,48.8332,-125.1493083,48.833125,-125.1490444,7360.063038,7.360063038
59,59,48.833125,-125.1490444,48.83299722,-125.1490417,7351.715143,7.351715143
60,60,48.83299722,-125.1490417,48.83281944,-125.1487583,7346.370575,7.346370575
61,61,48.83281944,-125.1487583,48.83270556,-125.1483944,7346.370575,7.346370575
62,62,48.83270556,-125.1483944,48.83248611,-125.1483806,7330.242864,7.330242864
63,63,48.83248611,-125.1483806,48.83243611,-125.1487222,7311.995192,7.311995192
64,64,48.83243611,-125.1487222,48.83263611,-125.1489917,7311.995192,7.311995192
65,65,48.83263611,-125.1489917,48.83266667,-125.1493056,7310.347123,7.310347123
66,66,48.83266667,-125.1493056,48.83276667,-125.1496417,7306.331235,7.306331235
67,71,48.83856389,-125.1350139,48.83883056,-125.1349833,8429.286203,8.429286203
68,72,48.83883056,-125.1349833,48.83909444,-125.1348972,8455.411661,8.455411661
69,73,48.83909444,-125.1348972,48.83935278,-125.1347778,8483.482682,8.483482682
70,74,48.83935278,-125.1347778,48.83960556,-125.1346306,8512.359902,8.512359902
71,75,48.83960556,-125.1346306,48.83986389,-125.1345139,8541.822815,8.541822815
72,76,48.83986389,-125.1345139,48.84013333,-125.1345028,8570.591712,8.570591712
73,77,48.84013333,-125.1345028,48.84039444,-125.13445,8596.200695,8.596200695
74,78,48.84039444,-125.13445,48.840625,-125.1342306,8622.689181,8.622689181
75,79,48.840625,-125.1342306,48.84088611,-125.1341306,8652.946419,8.652946419
76,80,48.84088611,-125.1341306,48.84113889,-125.1340083,8681.311055,8.681311055
77,81,48.84113889,-125.1340083,48.841375,-125.1338417,8709.784005,8.709784005
78,82,48.841375,-125.1338417,48.84159722,-125.1336056,8738.460744,8.738460744
79,83,48.84159722,-125.1336056,48.84181667,-125.1334056,8768.602639,8.768602639
80,84,48.84181667,-125.1334056,48.84205,-125.1332194,8797.050793,8.797050793
81,85,48.84205,-125.1332194,48.84221111,-125.13295,8826.246853,8.826246853
82,86,48.84221111,-125.13295,48.84246389,-125.1327972,8852.004237,8.852004237
83,87,48.84246389,-125.1327972,48.84268611,-125.1325667,8881.689344,8.881689344
84,88,48.84268611,-125.1325667,48.84281667,-125.1322167,8911.608476,8.911608476
85,89,48.84281667,-125.1322167,48.84305833,-125.1321611,8937.71609,8.93771609
86,90,48.84305833,-125.1321611,48.84324722,-125.1318667,8962.49871,8.96249871
87,91,48.84324722,-125.1318667,48.84346944,-125.1316417,8991.844558,8.991844558
88,92,48.84346944,-125.1316417,48.84361389,-125.1314028,9021.544951,9.021544951
89,93,48.84361389,-125.1314028,48.84386667,-125.1312528,9044.533686,9.044533686
90,94,48.84386667,-125.1312528,48.844025,-125.1309889,9074.107238,9.074107238
91,95,48.844025,-125.1309889,48.84426667,-125.1308028,9099.386153,9.099386153
92,96,48.84426667,-125.1308028,48.84447778,-125.1305472,9129.35688,9.12935688
93,97,48.84447778,-125.1305472,48.84465278,-125.1302361,9159.235745,9.159235745
94,98,48.84465278,-125.1302361,48.84473056,-125.1298417,9187.947873,9.187947873
95,99,48.84473056,-125.1298417,48.84484722,-125.1294694,9210.890433,9.210890433
96,100,48.84484722,-125.1294694,48.84496667,-125.1291028,9236.586135,9.236586135
97,101,48.84496667,-125.129103,48.84511111,-125.1287639,9262.307952,9.262307952
98,102,48.84511111,-125.1287639,48.84533056,-125.1285306,9289.278762,9.289278762
99,103,48.84533056,-125.1285306,48.84558611,-125.1284028,9319.050093,9.319050093
100,104,48.84558611,-125.1284028,48.84633611,-125.1285556,9347.999505,9.347999505
101,105,48.84633611,-125.1285556,48.84624722,-125.1289417,9388.327972,9.388327972
102,106,48.84624722,-125.1289417,48.84624722,-125.1289417,9390.146479,9.390146479
103,107,48.84624722,-125.1289417,48.84632778,-125.1295333,9372.336663,9.372336663
104,108,48.84632778,-125.1295333,48.84658333,-125.1294111,9372.336663,9.372336663
105,109,48.84658333,-125.1294111,48.84685278,-125.1294111,9401.063515,9.401063515
106,110,48.84685278,-125.1294111,48.84711944,-125.1293917,9426.231309,9.426231309
107,111,48.847125,-125.1294194,48.84737222,-125.1292917,9451.327927,9.451327927
108,112,48.84737222,-125.1292917,48.84763611,-125.1292806,9479.495275,9.479495275
109,113,48.84763611,-125.1292806,48.84778889,-125.1290389,9504.584954,9.504584954
110,114,48.84778889,-125.1290389,48.84794722,-125.1287083,9528.462491,9.528462491
111,115,48.84794722,-125.1287083,48.84813056,-125.1284056,9556.392076,9.556392076
112,116,48.84813056,-125.1284056,48.84831389,-125.1281028,9585.548702,9.585548702
113,117,48.84831389,-125.1281028,48.84846389,-125.1278222,9614.70836,9.61470836
114,118,48.84846389,-125.1278222,48.84862222,-125.1274944,9639.87245,9.63987245
115,119,48.84862222,-125.1274944,48.84885556,-125.1272833,9667.690751,9.667690751
