,Site,DistSound_km.x,Macrocystis_before,DistSound_km.y,Macrocystis_after,Change,Lat,Long
1,105,11.946,1,11.946,0,1,48.884797,-125.150315
2,106,11.948,1,11.948,0,1,48.885,-125.15096
3,107,12.056,1,12.056,1,0,48.884945,-125.14714
4,112,11.507,1,11.507,0,1,48.878488,-125.144102
5,113,11.975,1,11.975,0,1,48.880801,-125.137096
6,114,13.851,1,13.851,0,1,48.891793,-125.115041
7,126,3.14,1,3.14,1,0,48.88595,-125.37895
8,129,7.418,1,7.418,1,0,48.924722,-125.345556
9,133,9.693,1,9.693,0,1,48.941944,-125.326389
10,135,10.341,1,10.341,1,0,48.941944,-125.311389
11,138,11.845,1,11.845,0,1,48.9425,-125.274167
12,14,4.62,1,4.62,0,1,48.828717,-125.204389
13,155,6.133,1,6.133,0,1,48.90721,-125.35684
14,157,5.294,1,5.294,1,0,48.90447,-125.37081
15,2,4.741,1,4.741,1,0,48.82743,-125.198038
16,3,3.87,1,3.87,0,1,48.812146,-125.180139
17,30,1.032,1,1.032,1,0,48.860772,-125.357202
18,32,1.032,1,1.032,1,0,48.861302,-125.357366
19,35,6.948,1,6.948,1,0,48.89156,-125.29904
20,36,6.969,1,6.969,1,0,48.89192,-125.29939
21,37,6.767,1,6.767,1,0,48.88611,-125.29033
22,38,6.812,1,6.812,1,0,48.88631,-125.2897
23,4,3.872,1,3.872,0,1,48.812041,-125.179913
24,40,11.186,1,11.186,0,1,48.91167,-125.2436
25,41,9.554,1,9.554,0,1,48.90586,-125.26963
26,45,12.982,1,12.982,0,1,48.922616,-125.225964
27,5,8.265,1,8.265,1,0,48.838243,-125.13494
28,6,8.277,1,8.277,1,0,48.838181,-125.134626
29,7,9.937,1,9.937,0,1,48.851866,-125.123474
30,71,0.258,1,0.258,1,0,48.78843,-125.21389
31,72,0.315,1,0.315,1,0,48.78874,-125.21317
32,74,0.297,1,0.297,1,0,48.78903,-125.21465
33,76,8.085,1,8.085,0,1,48.907905,-125.310621
34,77,8.683,1,8.683,1,0,48.908379,-125.297087
35,78,8.632,1,8.632,1,0,48.907967,-125.297332
36,79,9.189,1,9.189,1,0,48.91012,-125.28888
37,8,10.001,1,10.001,0,1,48.852223,-125.122775
38,81,11.852,1,11.852,0,1,48.923335,-125.255429
39,83,11.92,1,11.92,1,0,48.92377,-125.25482
40,88,7.798,1,7.798,0,1,48.853069,-125.182697
41,89,7.592,1,7.592,1,0,48.851451,-125.184224
42,9,3.838,1,3.838,0,1,48.82448,-125.213356
43,90,7.697,1,7.697,1,0,48.851917,-125.181785
44,91,8.645,1,8.645,0,1,48.907974,-125.297047
45,92,9.943,1,9.943,0,1,48.868131,-125.160674
46,93,9.917,1,9.917,0,1,48.86774,-125.16022
47,94,10.322,1,10.322,0,1,48.872095,-125.161593
48,95,10.555,1,10.555,0,1,48.875072,-125.164307
49,96,10.508,1,10.508,1,0,48.874192,-125.162649
