"","Segment_number","HubDist2","Presence","Year","Seg.2","HubDist2.2","Presence.2","Year.2","Change"
"1","432",1.89647920966212,1,"2007","432",1.89647920966212,1,"2018",0
"2","431",1.87528250899693,1,"2007","431",1.87528250899693,1,"2018",0
"3","433",1.92153651524474,1,"2007","433",1.92153651524474,1,"2018",0
"4","430",1.85475436733557,1,"2007","430",1.85475436733557,1,"2018",0
"5","434",1.94578409798908,1,"2007","434",1.94578409798908,1,"2018",0
"6","435",1.9691267271403,1,"2007","435",1.9691267271403,1,"2018",0
"7","436",1.99307417565973,1,"2007","436",1.99307417565973,1,"2018",0
"8","429",1.83794657667324,1,"2007","429",1.83794657667324,1,"2018",0
"9","428",1.82098557370236,1,"2007","428",1.82098557370236,1,"2018",0
"10","427",1.80109348197579,1,"2007","427",1.80109348197579,1,"2018",0
"11","426",1.78420359976862,1,"2007","426",1.78420359976862,1,"2018",0
"12","425",1.76825535701824,1,"2007","425",1.76825535701824,1,"2018",0
"13","424",1.75349705937057,1,"2007","424",1.75349705937057,1,"2018",0
"14","407",1.46576143678577,1,"2007","407",1.46576143678577,1,"2018",0
"15","408",1.481254839262,1,"2007","408",1.481254839262,1,"2018",0
"16","423",1.7427134096211,1,"2007","423",1.7427134096211,1,"2018",0
"17","409",1.5039165012023,1,"2007","409",1.5039165012023,1,"2018",0
"18","422",1.73117779269357,1,"2007","422",1.73117779269357,1,"2018",0
"19","410",1.52923135289414,1,"2007","410",1.52923135289414,1,"2018",0
"20","421",1.71813660431728,1,"2007","421",1.71813660431728,1,"2018",0
"21","411",1.54670348671109,1,"2007","411",1.54670348671109,1,"2018",0
"22","420",1.704945258755,1,"2007","420",1.704945258755,1,"2018",0
"23","413",1.58382792722478,1,"2007","413",1.58382792722478,1,"2018",0
"24","412",1.56813952022487,1,"2007","412",1.56813952022487,1,"2018",0
"25","419",1.69082199640956,1,"2007","419",1.69082199640956,1,"2018",0
"26","414",1.60405236929013,1,"2007","414",1.60405236929013,1,"2018",0
"27","418",1.67662939231005,1,"2007","418",1.67662939231005,1,"2018",0
"28","415",1.62547573498937,1,"2007","415",1.62547573498937,1,"2018",0
"29","417",1.66099792708453,1,"2007","417",1.66099792708453,1,"2018",0
"30","416",1.64463265060255,1,"2007","416",1.64463265060255,1,"2018",0
"31","465",2.56512049354181,1,"2007","465",2.56512049354181,1,"2018",0
"32","464",2.5420836955369,1,"2007","464",2.5420836955369,1,"2018",0
"33","463",2.52016642383958,1,"2007","463",2.52016642383958,1,"2018",0
"34","466",2.59214011141728,1,"2007","466",2.59214011141728,1,"2018",0
"35","462",2.50104357176508,1,"2007","462",2.50104357176508,1,"2018",0
"36","467",2.61885056744644,1,"2007","467",2.61885056744644,1,"2018",0
"37","461",2.4817391799164,1,"2007","461",2.4817391799164,1,"2018",0
"38","460",2.46018062206737,1,"2007","460",2.46018062206737,1,"2018",0
"39","468",2.64560180732628,1,"2007","468",2.64560180732628,1,"2018",0
"40","472",2.7265431716275,1,"2007","472",2.7265431716275,1,"2018",0
"41","469",2.67111764037944,1,"2007","469",2.67111764037944,1,"2018",0
"42","473",2.75657499688549,1,"2007","473",2.75657499688549,0,"2018",1
"43","471",2.71657381607865,1,"2007","471",2.71657381607865,1,"2018",0
"44","470",2.69898732602909,1,"2007","470",2.69898732602909,1,"2018",0
"45","456",2.41347760519296,1,"2007","456",2.41347760519296,0,"2018",1
"46","455",2.39811664189231,1,"2007","455",2.39811664189231,1,"2018",0
"47","457",2.44155906372655,1,"2007","457",2.44155906372655,0,"2018",1
"48","522",3.74995196672122,1,"2007","522",3.74995196672122,1,"2018",0
"49","516",3.69212319206704,1,"2007","516",3.69212319206704,1,"2018",0
"50","515",3.67224646861193,1,"2007","515",3.67224646861193,1,"2018",0
"51","514",3.66656237108634,1,"2007","514",3.66656237108634,1,"2018",0
"52","538",3.778993704077,1,"2007","538",3.778993704077,0,"2018",1
"53","539",3.80011928741454,1,"2007","539",3.80011928741454,1,"2018",0
"54","541",3.87593128630869,1,"2007","541",3.87593128630869,1,"2018",0
"55","540",3.82573326619569,1,"2007","540",3.82573326619569,1,"2018",0
"56","542",3.91578013868253,1,"2007","542",3.91578013868253,1,"2018",0
"57","543",3.93760723752751,1,"2007","543",3.93760723752751,1,"2018",0
"58","544",3.96402779482029,1,"2007","544",3.96402779482029,1,"2018",0
"59","564",4.14866320670359,1,"2007","564",4.14866320670359,1,"2018",0
"60","563",4.13922783048945,1,"2007","563",4.13922783048945,1,"2018",0
"61","565",4.17790389564002,1,"2007","565",4.17790389564002,1,"2018",0
"62","562",4.11622828815103,1,"2007","562",4.11622828815103,1,"2018",0
"63","567",4.22398369075546,1,"2007","567",4.22398369075546,1,"2018",0
"64","566",4.20711508083496,1,"2007","566",4.20711508083496,1,"2018",0
"65","568",4.24983310462176,1,"2007","568",4.24983310462176,1,"2018",0
"66","592",4.46743952377246,1,"2007","592",4.46743952377246,1,"2018",0
"67","569",4.2691306200914,1,"2007","569",4.2691306200914,1,"2018",0
"68","560",4.16396639178161,1,"2007","560",4.16396639178161,1,"2018",0
"69","591",4.49002036226716,1,"2007","591",4.49002036226716,1,"2018",0
"70","590",4.51961716427872,1,"2007","590",4.51961716427872,1,"2018",0
"71","586",4.47371007131324,1,"2007","586",4.47371007131324,1,"2018",0
"72","587",4.50123734216732,1,"2007","587",4.50123734216732,1,"2018",0
"73","588",4.52389070692691,1,"2007","588",4.52389070692691,0,"2018",1
"74","589",4.54553710576734,1,"2007","589",4.54553710576734,1,"2018",0
"75","585",4.47569307899969,1,"2007","585",4.47569307899969,1,"2018",0
"76","573",4.32776694870468,1,"2007","573",4.32776694870468,1,"2018",0
"77","574",4.35706654378619,1,"2007","574",4.35706654378619,1,"2018",0
"78","584",4.48154798511298,1,"2007","584",4.48154798511298,1,"2018",0
"79","583",4.4787417595607,1,"2007","583",4.4787417595607,1,"2018",0
"80","575",4.38705643204146,1,"2007","575",4.38705643204146,1,"2018",0
"81","578",4.43430824484326,1,"2007","578",4.43430824484326,1,"2018",0
"82","582",4.49785659405264,1,"2007","582",4.49785659405264,1,"2018",0
"83","581",4.47888593428514,1,"2007","581",4.47888593428514,1,"2018",0
"84","576",4.41111789396067,1,"2007","576",4.41111789396067,1,"2018",0
"85","579",4.46385975028853,1,"2007","579",4.46385975028853,1,"2018",0
"86","580",4.48864818696112,1,"2007","580",4.48864818696112,1,"2018",0
"87","392",4.73995939611516,1,"2007","392",4.73995939611516,1,"2018",0
"88","391",4.74237650839023,1,"2007","391",4.74237650839023,1,"2018",0
"89","390",4.76919515570794,1,"2007","390",4.76919515570794,1,"2018",0
"90","389",4.79427219864996,1,"2007","389",4.79427219864996,1,"2018",0
"91","383",5.04087711044814,1,"2007","383",5.04087711044814,1,"2018",0
"92","388",4.87439797424268,1,"2007","388",4.87439797424268,1,"2018",0
"93","385",5.01651380947241,1,"2007","385",5.01651380947241,1,"2018",0
"94","384",5.03815948499406,1,"2007","384",5.03815948499406,1,"2018",0
"95","387",4.9036033836759,1,"2007","387",4.9036033836759,1,"2018",0
"96","386",4.96801604431413,1,"2007","386",4.96801604431413,1,"2018",0
"97","382",5.22002362033742,1,"2007","382",5.22002362033742,1,"2018",0
"98","381",5.21381496415024,1,"2007","381",5.21381496415024,1,"2018",0
"99","380",5.21081805779413,1,"2007","380",5.21081805779413,1,"2018",0
"100","379",5.21212569701447,1,"2007","379",5.21212569701447,1,"2018",0
"101","378",5.23876010159583,1,"2007","378",5.23876010159583,1,"2018",0
"102","377",5.2983037882999,1,"2007","377",5.2983037882999,1,"2018",0
"103","373",5.40175380497464,1,"2007","373",5.40175380497464,1,"2018",0
"104","370",5.46124535594594,1,"2007","370",5.46124535594594,1,"2018",0
"105","372",5.42648164197703,1,"2007","372",5.42648164197703,1,"2018",0
"106","371",5.45221743462497,1,"2007","371",5.45221743462497,1,"2018",0
"107","374",5.39481891316281,1,"2007","374",5.39481891316281,1,"2018",0
"108","367",5.5288651005257,1,"2007","367",5.5288651005257,1,"2018",0
"109","375",5.3821905133142,1,"2007","375",5.3821905133142,1,"2018",0
"110","376",5.37057574206901,1,"2007","376",5.37057574206901,1,"2018",0
"111","366",5.55973524142359,1,"2007","366",5.55973524142359,1,"2018",0
"112","365",5.5856037806684,1,"2007","365",5.5856037806684,1,"2018",0
"113","364",5.61560510774654,1,"2007","364",5.61560510774654,1,"2018",0
"114","361",5.64376295853353,1,"2007","361",5.64376295853353,1,"2018",0
"115","360",5.66468597550946,1,"2007","360",5.66468597550946,1,"2018",0
"116","352",5.9060923660239,1,"2007","352",5.9060923660239,1,"2018",0
"117","351",5.9665088657777,1,"2007","351",5.9665088657777,1,"2018",0
"118","359",5.78145032298398,1,"2007","359",5.78145032298398,1,"2018",0
"119","353",5.89773603616079,1,"2007","353",5.89773603616079,1,"2018",0
"120","354",5.89349565685682,1,"2007","354",5.89349565685682,1,"2018",0
"121","358",5.83273907921508,1,"2007","358",5.83273907921508,1,"2018",0
"122","355",5.89645456861491,1,"2007","355",5.89645456861491,1,"2018",0
"123","357",5.86224993638655,1,"2007","357",5.86224993638655,1,"2018",0
"124","356",5.884414242435,1,"2007","356",5.884414242435,1,"2018",0
"125","350",6.03871466443171,1,"2007","350",6.03871466443171,1,"2018",0
"126","1352",6.32355029160859,1,"2007","1352",6.32355029160859,1,"2018",0
"127","1351",6.35312392202077,1,"2007","1351",6.35312392202077,1,"2018",0
"128","1350",6.40034154568615,1,"2007","1350",6.40034154568615,1,"2018",0
"129","342",6.85890026282689,1,"2007","342",6.85890026282689,1,"2018",0
"130","341",6.90622825945636,1,"2007","341",6.90622825945636,1,"2018",0
"131","340",6.93326281044788,1,"2007","340",6.93326281044788,1,"2018",0
"132","339",6.99065689955665,1,"2007","339",6.99065689955665,1,"2018",0
"133","64",7.09616476093727,1,"2007","64",7.09616476093727,1,"2018",0
"134","65",7.08276602303287,1,"2007","65",7.08276602303287,1,"2018",0
"135","66",7.07392752771964,1,"2007","66",7.07392752771964,1,"2018",0
"136","60",7.12274694184102,1,"2007","60",7.12274694184102,1,"2018",0
"137","53",7.21950041118479,1,"2007","53",7.21950041118479,1,"2018",0
"138","48",7.28483278233299,1,"2007","48",7.28483278233299,1,"2018",0
"139","52",7.23776481307983,1,"2007","52",7.23776481307983,1,"2018",0
"140","42",7.32741536051002,1,"2007","42",7.32741536051002,1,"2018",0
"141","47",7.30606787094397,1,"2007","47",7.30606787094397,1,"2018",0
"142","43",7.34981297730636,1,"2007","43",7.34981297730636,1,"2018",0
"143","46",7.32414616687595,1,"2007","46",7.32414616687595,1,"2018",0
"144","44",7.36494688624224,1,"2007","44",7.36494688624224,1,"2018",0
"145","45",7.35450629140174,1,"2007","45",7.35450629140174,1,"2018",0
"146","26",7.63575064840388,1,"2007","26",7.63575064840388,1,"2018",0
"147","25",7.64949999550755,1,"2007","25",7.64949999550755,1,"2018",0
"148","9999",7.66144678248624,1,"2007","9999",7.66144678248624,1,"2018",0
"149","21",7.68547986794278,1,"2007","21",7.68547986794278,1,"2018",0
"150","18",7.66789345988029,1,"2007","18",7.66789345988029,1,"2018",0
