Site_ID,Location,Latitude,Longitude,Macro_present_historically,Nereo_present_historically,Macro_extinction,Nereo_exinction
47,Clark,48.88861111,125.3711111,1,1,1,0
48,Faber,48.89,125.2991667,1,1,0,0
49,Dixon,48.86583333,125.1219444,1,1,1,1
52,Execution,48.8125,125.1794444,1,1,0,0
53,Taylor,48.82805556,125.1969444,1,1,0,0
55,Austin,48.86333333,125.3105556,1,1,0,0
56,Effingham,48.86555556,125.2986111,0,1,0,0
57,Gibraltar,48.91166667,125.2433333,1,1,0,0
58,Dempster,48.90694444,125.2675,1,1,1,1
120,Ohiat,48.85416667,125.1822222,1,1,1,1
125,Sanford,48.871041,-125.171568,0,1,0,0
144,Edward King,48.81611111,125.2161111,0,1,0,0
146,Folger,48.83055556,125.25,0,1,0,0
148,Flemming,48.88388889,125.1422222,1,0,1,0
161,Flemming,48.87916667,125.1422222,1,0,1,0
