Region,Distance_from_open,Site, 2018 Transect #,Set,Replicate,Date (YYYYMMDD),TransectStartLatitude (DDD.DDDDD°),TrannsectStartLongitude (DDD.DDDDD°),TransectEndLatitude (DDD.DDDDD°),TransectEndLongitude (DDD.DDDDD°),StartTime (HH:MM),Tide (m),Drop Depth (m),Urchin_density,Sediment_percent,Cobble_percent,Boulder,Bedrock
Nanat IT - Danvers IT,14.1,1,306,B,1,20190805,48.88017222,-125.0794139,48.88015,-125.0790694,10:54,0.47-0.50,4.07,0,0,30,70,0
Nanat IT - Danvers IT,14.1,1,306,B,2,20190805,48.88017222,-125.0794139,48.88015,-125.0790694,10:55,0.47-0.50,4,0,0,20,80,0
Nanat IT - Danvers IT,14.1,1,306,B,3,20190805,48.88017222,-125.0794139,48.88015,-125.0790694,10:56,0.47-0.50,3.48,0,0,30,70,0
Nanat IT - Danvers IT,14.1,1,306,B,4,20190805,48.88017222,-125.0794139,48.88015,-125.0790694,10:57,0.47-0.50,3.89,0,20,10,70,0
Nanat IT - Danvers IT,14.1,1,306,B,5,20190805,48.88017222,-125.0794139,48.88015,-125.0790694,10:58,0.47-0.50,3.77,0,20,80,0,0
Nanat IT - Danvers IT,14.1,1,306,B,6,20190805,48.88017222,-125.0794139,48.88015,-125.0790694,10:59,0.47-0.50,4.1,0,50,50,0,0
Nanat IT - Danvers IT,14.1,1,306,B,7,20190805,48.88017222,-125.0794139,48.88015,-125.0790694,11:00,0.47-0.50,3.31,0,50,50,0,0
Nanat IT - Danvers IT,14.1,1,306,B,8,20190805,48.88017222,-125.0794139,48.88015,-125.0790694,11:01,0.47-0.50,3.85,0,60,40,0,0
Nanat IT - Danvers IT,14.1,1,306,B,9,20190805,48.88017222,-125.0794139,48.88015,-125.0790694,11:01,0.47-0.50,3.1,0,NA,NA,NA,NA
Nanat IT - Danvers IT,14.1,1,306,B,10,20190805,48.88017222,-125.0794139,48.88015,-125.0790694,11:02,0.47-0.50,3.7,0,NA,NA,NA,NA
Danvers IT,13.6,2,NA,D,1,20190806,48.87678,-125.09248,48.87685,-125.0923,9:43,1.04-0.98,3.14,14,0,0,0,100
Danvers IT,13.6,2,NA,D,2,20190806,48.87678,-125.09248,48.87685,-125.0923,9:44,1.04-0.98,2.5,7,0,0,0,100
Danvers IT,13.6,2,NA,D,3,20190808,48.87678,-125.09248,48.87685,-125.0923,9:45,1.04-0.98,3.11,11,0,0,0,100
Danvers IT,13.6,2,NA,D,4,20190806,48.87678,-125.09248,48.87685,-125.0923,9:46,1.04-0.98,2.59,8,0,0,0,100
Danvers IT,13.6,2,NA,D,5,20190806,48.87678,-125.09248,48.87685,-125.0923,9:47,1.04-0.98,2.72,7,0,0,0,100
Danvers IT,13.6,2,NA,D,6,20190806,48.87678,-125.09248,48.87685,-125.0923,9:48,1.04-0.98,3.65,8,10,0,0,90
Danvers IT,13.6,2,NA,D,7,20190806,48.87678,-125.09248,48.87685,-125.0923,9:49,1.04-0.98,2.7,18,10,0,0,90
Danvers IT,13.6,2,NA,D,8,20190806,48.87678,-125.09248,48.87685,-125.0923,9:50,1.04-0.98,2.48,11,0,0,0,100
Danvers IT,13.6,2,NA,D,9,20190806,48.87678,-125.09248,48.87685,-125.0923,9:51,1.04-0.98,2.27,12,0,0,0,100
Danvers IT,13.6,2,NA,D,10,20190806,48.87678,-125.09248,48.87685,-125.0923,9:52,1.04-0.98,2.41,7,0,0,0,100
NE from Elis IT,12.1,3,228,F,1,20190805,48.86739444,-125.0992917,48.867325,-125.0984694,9:36,0.55-0.52,3.46,0,100,0,0,0
NE from Elis IT,12.1,3,228,F,2,20190805,48.86739444,-125.0992917,48.867325,-125.0984694,9:39,0.55-0.52,0.81,0,10,0,0,90
NE from Elis IT,12.1,3,228,F,3,20190805,48.86739444,-125.0992917,48.867325,-125.0984694,9:39,0.55-0.52,1.42,2.5,0,0,0,100
NE from Elis IT,12.1,3,228,F,4,20190805,48.86739444,-125.0992917,48.867325,-125.0984694,9:40,0.55-0.52,1.91,0,0,0,0,100
NE from Elis IT,12.1,3,228,F,5,20190805,48.86739444,-125.0992917,48.867325,-125.0984694,9:41,0.55-0.52,1,5,0,0,0,100
NE from Elis IT,12.1,3,228,F,6,20190805,48.86739444,-125.0992917,48.867325,-125.0984694,9:41,0.55-0.52,2.77,2.5,40,60,0,0
NE from Elis IT,12.1,3,228,F,7,20190805,48.86739444,-125.0992917,48.867325,-125.0984694,9:42,0.55-0.52,3,0,0,0,0,100
NE from Elis IT,12.1,3,228,F,8,20190805,48.86739444,-125.0992917,48.867325,-125.0984694,9:43,0.55-0.52,3.11,3,20,0,0,80
NE from Elis IT,12.1,3,228,F,9,20190805,48.86739444,-125.0992917,48.867325,-125.0984694,9:44,0.55-0.52,2.95,0,70,30,0,0
NE from Elis IT,12.1,3,228,F,10,20190805,48.86739444,-125.0992917,48.867325,-125.0984694,9:45,0.55-0.52,2,4,0,100,0,0
Dixon,10.3,4,178,H,1,20190805,48.85306944,-125.1165806,48.85286667,-125.1168472,11:42,0.70-0.76,4.52,0,70,30,0,0
Dixon,10.3,4,178,H,2,20190805,48.85306944,-125.1165806,48.85286667,-125.1168472,11:43,0.70-0.76,2.95,0,90,10,0,0
Dixon,10.3,4,178,H,3,20190805,48.85306944,-125.1165806,48.85286667,-125.1168472,11:44,0.70-0.76,3,0,90,10,0,0
Dixon,10.3,4,178,H,4,20190805,48.85306944,-125.1165806,48.85286667,-125.1168472,11:45,0.70-0.76,4.29,0,50,50,0,0
Dixon,10.3,4,178,H,5,20190805,48.85306944,-125.1165806,48.85286667,-125.1168472,11:46,0.70-0.76,3.53,0,NA,NA,NA,NA
Dixon,10.3,4,178,H,6,20190805,48.85306944,-125.1165806,48.85286667,-125.1168472,11:47,0.70-0.76,1.7,0,10,90,0,0
Dixon,10.3,4,178,H,7,20190805,48.85306944,-125.1165806,48.85286667,-125.1168472,11:48,0.70-0.76,1.62,0,NA,NA,NA,NA
Dixon,10.3,4,178,H,8,20190805,48.85306944,-125.1165806,48.85286667,-125.1168472,11:49,0.70-0.76,2.12,0,10,60,30,0
Dixon,10.3,4,178,H,9,20190805,48.85306944,-125.1165806,48.85286667,-125.1168472,11:50,0.70-0.76,1.7,0,0,80,20,0
Dixon,10.3,4,178,H,10,20190805,48.85306944,-125.1165806,48.85286667,-125.1168472,11:50,0.70-0.76,3.54,3,30,10,0,60
NE of BMSC Mouth 2,8.9,6,NA,I,1,20190805,48.8441,-125.1311,48.8446,-125.13046,1:40,0.47-0.50,3.2,0,0,100,0,0
NE of BMSC Mouth 2,8.9,6,NA,I,2,20190805,48.8441,-125.1311,48.8446,-125.13046,1:40,0.47-0.50,3,0,0,100,0,0
NE of BMSC Mouth 2,8.9,6,NA,I,3,20190805,48.8441,-125.1311,48.8446,-125.13046,1:41,0.47-0.50,6:15,4,50,10,40,0
NE of BMSC Mouth 2,8.9,6,NA,I,4,20190805,48.8441,-125.1311,48.8446,-125.13046,1:41,0.47-0.50,3.08,1,0,100,0,0
NE of BMSC Mouth 2,8.9,6,NA,I,5,20190805,48.8441,-125.1311,48.8446,-125.13046,1:42,0.47-0.50,3.1,0,0,50,50,0
NE of BMSC Mouth 2,8.9,6,NA,I,6,20190805,48.8441,-125.1311,48.8446,-125.13046,1:42,0.47-0.50,4.95,2,0,40,60,0
NE of BMSC Mouth 2,8.9,6,NA,I,7,20190805,48.8441,-125.1311,48.8446,-125.13046,1:43,0.47-0.50,3.27,0,NA,NA,NA,NA
NE of BMSC Mouth 2,8.9,6,NA,I,8,20190805,48.8441,-125.1311,48.8446,-125.13046,1:43,0.47-0.50,2,0,NA,NA,NA,NA
NE of BMSC Mouth 2,8.9,6,NA,I,9,20190805,48.8441,-125.1311,48.8446,-125.13046,1:44,0.47-0.50,2,0,NA,NA,NA,NA
NE of BMSC Mouth 2,8.9,6,NA,I,10,20190805,48.8441,-125.1311,48.8446,-125.13046,1:45,0.47-0.50,2.69,0,NA,NA,NA,NA
NE of BMSC Mouth 2,8.9,6,NA,I,11,20190805,48.8441,-125.1311,48.8446,-125.13046,1:45,0.47-0.50,2.51,0,NA,NA,NA,NA
NE of BMSC Mouth 1,8.7,5,NA,J,1,20190805,48.84198,-125.13339,48.84224,-125.1331,1:30,0.70-0.76,4.2,1,10,30,60,0
NE of BMSC Mouth 1,8.7,5,NA,J,2,20190805,48.84198,-125.13339,48.84224,-125.1331,1:30,0.70-0.76,3.79,3,10,20,20,50
NE of BMSC Mouth 1,8.7,5,NA,J,3,20190805,48.84198,-125.13339,48.84224,-125.1331,1:31,0.70-0.76,4.16,2,0,0,0,100
NE of BMSC Mouth 1,8.7,5,NA,J,4,20190805,48.84198,-125.13339,48.84224,-125.1331,1:31,0.70-0.76,2.83,0,10,70,10,10
NE of BMSC Mouth 1,8.7,5,NA,J,5,20190805,48.84198,-125.13339,48.84224,-125.1331,1:32,0.70-0.76,3,3,10,20,40,30
NE of BMSC Mouth 1,8.7,5,NA,J,6,20190805,48.84198,-125.13339,48.84224,-125.1331,1:32,0.70-0.76,3.91,0,0,70,30,0
NE of BMSC Mouth 1,8.7,5,NA,J,7,20190805,48.84198,-125.13339,48.84224,-125.1331,1:33,0.70-0.76,5.15,3,0,60,40,0
NE of BMSC Mouth 1,8.7,5,NA,J,8,20190805,48.84198,-125.13339,48.84224,-125.1331,1:33,0.70-0.76,3.64,10,0,0,100,0
NE of BMSC Mouth 1,8.7,5,NA,J,9,20190805,48.84198,-125.13339,48.84224,-125.1331,1:34,0.70-0.76,3.44,0,30,10,60,0
NE of BMSC Mouth 1,8.7,5,NA,J,10,20190805,48.84198,-125.13339,48.84224,-125.1331,1:35,0.70-0.76,2.82,1,0,70,30,0
Aguilar PT,8.1,7,NA,K,1,20190806,48.83905,-125.142,48.8389,-125.14212,8:55,1.50-1.33,3.8,7,10,20,30,40
Aguilar PT,8.1,7,NA,K,2,20190806,48.83905,-125.142,48.8389,-125.14212,8:56,1.50-1.33,4.6,9,0,30,30,40
Aguilar PT,8.1,7,NA,K,3,20190806,48.83905,-125.142,48.8389,-125.14212,8:57,1.50-1.33,3.5,1,10,50,40,0
Aguilar PT,8.1,7,NA,K,4,20190806,48.83905,-125.142,48.8389,-125.14212,8:58,1.50-1.33,2.45,8,0,20,80,0
Aguilar PT,8.1,7,NA,K,5,20190806,48.83905,-125.142,48.8389,-125.14212,8:59,1.50-1.33,3.1,NA,NA,NA,NA,NA
Aguilar PT,8.1,7,NA,K,6,20190806,48.83905,-125.142,48.8389,-125.14212,9:00,1.50-1.33,3.21,2,0,80,20,0
Aguilar PT,8.1,7,NA,K,7,20190806,48.83905,-125.142,48.8389,-125.14212,9:01,1.50-1.33,3.09,4,10,60,30,0
Aguilar PT,8.1,7,NA,K,8,20190806,48.83905,-125.142,48.8389,-125.14212,9:02,1.50-1.33,3.33,1,0,100,0,0
Aguilar PT,8.1,7,NA,K,9,20190806,48.83905,-125.142,48.8389,-125.14212,9:03,1.50-1.33,3.87,0,0,50,50,0
Aguilar PT,8.1,7,NA,K,10,20190806,48.83905,-125.142,48.8389,-125.14212,9:05,1.50-1.33,2.2,NA,NA,NA,NA,NA
Bradys Beach,6.5,8,NA,L,1,20190805,48.82738,-125.15464,48.82792,-125.15498,3:30,2.92-2.98,4.88,6,NA,NA,NA,NA
Bradys Beach,6.5,8,NA,L,2,20190805,48.82738,-125.15464,48.82792,-125.15498,3:31,2.92-2.98,4.5,0,0,50,50,0
Bradys Beach,6.5,8,NA,L,3,20190805,48.82738,-125.15464,48.82792,-125.15498,3:32,2.92-2.98,4,0,100,0,0,0
Bradys Beach,6.5,8,NA,L,4,20190805,48.82738,-125.15464,48.82792,-125.15498,3:33,2.92-2.98,5.4,0,100,0,0,0
