FID,Segment,Start_Lati,Start_Long,End_Latitu,End_Longit,Shape_Leng,Kelp_2013,Comments_2,Kelp_2016,Comments_3,Line_Comme,Kelp_2018V,Validation,Date_of_sa,M_pyrifera,N_luetkean,Kelp_2018,Distance_f,Notes_2018,Kelp_2007,Nereocysti,Macrocysti,Date_2019,Macrocys_1,Nereocys_1,Kelp_2007_,Kelp_2019,Notes_Y,K2007binar,k2018binar,change2007,change_not,segment_nu,macro_2020,nereo_2020,kelp_2020
0,1,48.83963889,-125.1406917,48.83938889,-125.1410417,38.08349644,NA, ,NA, , ,NA,Not in Image,20180810,0,1,1,0,NA,2,2,1,NA,NA,NA,NA,NA,NA,1,1,0,0 is kelp present both years,1,NA,NA,NA
1,2,48.83938889,-125.1410417,48.83938333,-125.1410472,0.742901354,NA, ,NA, , ,NA,Not in Image,20180810,0,2,2,1.5,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,0,1 is kelp loss,2,NA,NA,NA
2,3,48.83918056,-125.1412028,48.83911944,-125.1415944,29.71687515,NA, ,NA, , ,NA,Not in Image,20180810,0,2,2,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,minus 1 is kelp gain,3,NA,NA,NA
3,4,48.83911944,-125.1415944,48.83898889,-125.1419556,30.41132819,NA, ,NA, , ,NA, ,20180810,0,2,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2 kelp was never present,4,NA,NA,NA
4,5,48.83898889,-125.1419556,48.83880556,-125.1419472,20.51973847,NA, ,NA, , ,NA, ,20180810,0,2,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,5,NA,NA,NA
5,6,48.83880556,-125.1419472,48.83870278,-125.1422556,25.51345505,NA, ,NA, , ,NA, ,20180810,0,2,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,6,NA,NA,NA
6,7,48.83870278,-125.1422556,48.83858889,-125.1422222,12.97818822,NA, ,NA, , ,NA, ,20180810,0,2,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,7,NA,NA,NA
7,8,48.83858889,-125.1422222,48.83837778,-125.1424778,30.2346314,NA, ,NA, , ,NA, ,20180810,0,2,2,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,8,NA,NA,NA
8,9,48.83837778,-125.1424778,48.83823056,-125.1428194,30.12801737,NA, ,1, , ,NA, ,20180810,0,2,2,3.5,almost 100% cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,9,NA,NA,NA
9,10,48.83823056,-125.1428194,48.838125,-125.1431972,30.29728283,NA, ,NA, , ,NA, ,20180810,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,10,NA,NA,NA
